found: 535
size 3084 cubes 
size 510 bigP 3643
19^3 = 6859 =  a:3 b:10 c:18
1231^3 = 1865409391 =  a:271 b:724 c:1136
1237^3 = 1892819053 =  a:112 b:850 c:1085
1249^3 = 1948441249 =  a:201 b:648 c:1186
1249^3 = 1948441249 =  a:682 b:705 c:1086
1259^3 = 1995616979 =  a:131 b:878 c:1096
1259^3 = 1995616979 =  a:803 b:872 c:934
1291^3 = 2151685171 =  a:196 b:259 c:1286
1291^3 = 2151685171 =  a:531 b:922 c:1068
1291^3 = 2151685171 =  a:75 b:166 c:1290
1297^3 = 2181825073 =  a:153 b:316 c:1290
1297^3 = 2181825073 =  a:522 b:849 c:1126
1297^3 = 2181825073 =  a:93 b:631 c:1245
1301^3 = 2202073901 =  a:614 b:757 c:1154
1301^3 = 2202073901 =  a:717 b:879 c:1049
1303^3 = 2212245127 =  a:762 b:799 c:1080
1307^3 = 2232681443 =  a:182 b:700 c:1235
1307^3 = 2232681443 =  a:382 b:566 c:1259
1319^3 = 2294744759 =  a:320 b:743 c:1228
1321^3 = 2305199161 =  a:292 b:944 c:1129
1321^3 = 2305199161 =  a:528 b:556 c:1257
1321^3 = 2305199161 =  a:529 b:972 c:1074
1327^3 = 2336752783 =  a:19 b:599 c:1285
1327^3 = 2336752783 =  a:412 b:1031 c:1054
1367^3 = 2554497863 =  a:170 b:634 c:1319
1367^3 = 2554497863 =  a:239 b:664 c:1310
1409^3 = 2797260929 =  a:257 b:1108 c:1124
1427^3 = 2905841483 =  a:284 b:915 c:1284
1427^3 = 2905841483 =  a:355 b:983 c:1241
1427^3 = 2905841483 =  a:603 b:986 c:1200
1427^3 = 2905841483 =  a:62 b:1123 c:1142
1429^3 = 2918076589 =  a:232 b:405 c:1416
1433^3 = 2942649737 =  a:289 b:314 c:1424
1433^3 = 2942649737 =  a:404 b:665 c:1372
1433^3 = 2942649737 =  a:880 b:1025 c:1058
1439^3 = 2979767519 =  a:22 b:752 c:1367
1439^3 = 2979767519 =  a:345 b:773 c:1353
1439^3 = 2979767519 =  a:458 b:968 c:1255
1447^3 = 3029741623 =  a:363 b:951 c:1285
1447^3 = 3029741623 =  a:4 b:383 c:1438
1447^3 = 3029741623 =  a:535 b:701 c:1363
1451^3 = 3054936851 =  a:179 b:904 c:1322
1453^3 = 3067586677 =  a:247 b:363 c:1443
1453^3 = 3067586677 =  a:396 b:688 c:1389
1453^3 = 3067586677 =  a:480 b:652 c:1389
1459^3 = 3105745579 =  a:395 b:856 c:1342
1459^3 = 3105745579 =  a:627 b:1020 c:1216
1459^3 = 3105745579 =  a:827 b:916 c:1210
1471^3 = 3183010111 =  a:103 b:1101 c:1227
1471^3 = 3183010111 =  a:568 b:1130 c:1159
1471^3 = 3183010111 =  a:691 b:977 c:1243
1471^3 = 3183010111 =  a:802 b:1063 c:1136
1481^3 = 3248367641 =  a:240 b:905 c:1356
1481^3 = 3248367641 =  a:358 b:740 c:1409
1481^3 = 3248367641 =  a:544 b:662 c:1409
1489^3 = 3301293169 =  a:153 b:1048 c:1290
1493^3 = 3327970157 =  a:150 b:368 c:1485
